,poi,pname_en,pname_th,lat,lng,travel_time,pp_last_night,pp_morning,pp_afternoon,pp_evening,pp_night,pp_all,pop_dayofweek,pop_month
0,cbi-001,Laem Thaen,แหลมแท่น,13.301,100.901,136.37,0.0,0.0,0.0,0.0,0.0,1.0,1,12
1,cbi-002,Khao Sam Muk,เขาสามมุข,13.308,100.907,90.71,0.0,1.0,1.0,1.0,0.0,2.0,6,2
2,cbi-003,Nam Tok Khao Chao Bo Thong,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,13.251,101.376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
3,cbi-004,Center for Nature and Conservation of Mangrove Forest for Ecotourism,ศูนย์ศึกษาธรรมชาติและอนุรักษ์ป่าชายเลนเพื่อการท่องเที่ยวเชิงนิเวศ,13.341,100.943,108.27,0.0,0.0,1.0,0.0,0.0,1.0,1,11
4,cbi-005,Aow Thung Prong,อ่าวทุ่งโปรง,12.693,100.856,104.42,0.0,1.0,0.0,0.0,0.0,2.0,4,9
5,cbi-006,Koh Klung Badan,เกาะกลึงบาดาล,12.895,100.675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
6,cbi-007,Koh Larn,เกาะล้าน,12.915,100.775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
7,cbi-008,Koh Sichang,เกาะสีชัง,13.145,100.808,75.67,1.0,0.0,0.0,0.0,0.0,1.0,2,2
8,cbi-009,Baan Amphur Beach,ชายหาดบ้านอำเภอ,12.809,100.912,106.45,0.0,0.0,1.0,1.0,0.0,2.0,3,1
9,cbi-010,Jomtien Beach,หาดจอมเทียน,12.89,100.871,112.21,4.0,14.0,7.0,9.0,14.0,48.0,5,9
10,cbi-011,Dongtan Beach,หาดดงตาล,12.659,100.916,99.27,0.0,1.0,1.0,0.0,0.0,2.0,6,11
11,cbi-012,Tawaen Beach (Koh Larn),หาดตาแหวน (เกาะล้าน),12.925,100.778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1
