,Unnamed: 0,poi,pname_en,pname_th,lat,lon,travel_time,pp_last_night,pp_morning,pp_afternoon,pp_evening,pp_night,pp_all,date
10212,10212,cbi-001,Laem Thaen,แหลมแท่น,13.3014,100.9008,,0,0,0,0,0,0,2019-09-01
10294,10294,cbi-084,Pattaya Elephant Village,หมู่บ้านช้างพัทยา,12.88072222,100.9281667,135.66666669999998,0,2,1,0,0,3,2019-09-01
10293,10293,cbi-083,Sriracha Tiger Zoo,สวนเสือศรีราชา,13.14935,101.0119,137.52068069999999,0,52,17,1,0,70,2019-09-01
10292,10292,cbi-082,Rama IX Commemoration Public Park,สวนสาธารณะเฉลิมพระเกียรติ ร.9,13.33685714,100.9560714,,0,0,0,0,0,0,2019-09-01
10291,10291,cbi-081,Khao Kheow Open Zoo,สวนสัตว์เปิดเขาเขียว,13.205,101.055,82.87301587,0,17,8,0,0,25,2019-09-01
10290,10290,cbi-080,Nong Ta Yu Arboretum,สวนรุกขชาติหนองตาอยู่,13.1555,100.9945,,0,0,0,0,0,0,2019-09-01
10289,10289,cbi-079,Big Bee Garden,สวนผึ้งบิ๊กบี,12.974,100.9675,81.33333333,0,2,4,2,1,9,2019-09-01
10288,10288,cbi-078,Panarak Forest Park,สวนป่าพนารักษ์,12.9275,100.948,,0,0,0,0,0,0,2019-09-01
10287,10287,cbi-077,Nong Nooch Tropical Botanical Garden,สวนนงนุช,12.7663871,100.9320645,136.35,0,3,5,3,0,11,2019-09-01
10286,10286,cbi-076,Elephant Park (Krathing Lai),สวนช้าง (กระทิงลาย),12.985999999999999,100.956,43.88888889,0,4,5,0,0,9,2019-09-01
10285,10285,cbi-075,Institute of Marine Science Burapha University,สถาบันวิทยาศาสตร์ทางทะเล มหาวิทยาลัยบูรพา,13.2845,100.9245,32.0,1,0,0,0,0,1,2019-09-01
10284,10284,cbi-074,Sea Turtle Conservation Center Sattahip Naval Base,ศูนย์อนุรักษ์พันธุ์เต่าทะเล ฐานทัพเรือสัตหีบ,12.6354,100.9252,,0,0,0,0,0,0,2019-09-01
10295,10295,cbi-085,Bali Hai Cape,แหลมบาลีฮาย,12.92672727,100.86690909999999,74.5,0,1,2,1,1,5,2019-09-01
10283,10283,cbi-073,Wonder Farm,วันเดอร์ฟาร์ม,12.7805,100.956,,0,0,0,0,0,0,2019-09-01
10281,10281,cbi-071,Tuxedo  Magic Theatre Pattaya,โรงละครมายากล ทักซิโด้ พัทยา,12.9465,100.889,130.3,0,2,1,4,1,8,2019-09-01
10280,10280,cbi-070,Thai Alangkarn Theatre,โรงละครไทยอลังการ,12.8505,100.9145,,0,0,0,0,0,0,2019-09-01
10279,10279,cbi-069,Pilom Thai Submarine,เรือดำน้ำวิมานใต้ทะเล,12.923,100.885,,0,0,0,0,0,0,2019-09-01
10278,10278,cbi-068,Mimosa Pattaya,มิโมซ่า พัทยา,12.8395,100.912,86.0,0,0,0,1,0,1,2019-09-01
10277,10277,cbi-067,Percula Farm,เพอคูล่าฟาร์ม,12.602,100.95299999999999,,0,0,0,0,0,0,2019-09-01
10276,10276,cbi-066,Paintball Park,เพ้นท์บอลปาร์ค,12.905999999999999,100.883,,0,0,0,0,0,0,2019-09-01
10275,10275,cbi-065,Glass Art Museum,พิพิธภัณฑ์ศิลปะในขวดแก้ว,12.956,100.90700000000001,,0,0,0,0,0,0,2019-09-01
10274,10274,cbi-064,Ripley's Museum,พิพิธภัณฑ์ริบลีส์,12.927999999999999,100.87799999999999,61.0,0,1,1,1,1,4,2019-09-01
10273,10273,cbi-063,Teddy Bear Museum,พิพิธภัณฑ์ตุ๊กตาหมี,12.946,100.8845,66.4,0,2,1,2,1,6,2019-09-01
10272,10272,cbi-062,Pattaya Dolphin World & Resort,พัทยาดอลฟินเวิลด์แอนด์รีสอร์ท,12.834000000000001,100.9415,67.33333333,0,2,1,1,0,4,2019-09-01
10271,10271,cbi-061,Pattaya Shooting Park,พัทยาชู้ทติ้ง พาร์ค,12.8635,100.9155,,0,0,0,0,0,0,2019-09-01
10282,10282,cbi-072,Silver Lake Vineyard,ไร่องุ่นซิลเวอร์เลค,12.75837037,100.9625556,60.98333333,0,4,6,2,0,12,2019-09-01
10270,10270,cbi-060,Baan Sukhawadee,บ้านสุขาวดี,12.9815,100.9175,97.07142857,0,2,11,7,0,20,2019-09-01
10296,10296,cbi-086,Under Water World Pattaya,อันเดอร์ วอเตอร์ เวิล์ด พัทยา,12.8965,100.8955,53.0,0,0,2,0,0,2,2019-09-01
10298,10298,cbi-088,Bang Phra Reservoir,อ่างเก็บน้ำบางพระ (เขตห้ามล่าสัตว์ป่าอ่างเก็บน้ำบางพระ),13.22985714,100.99571429999999,,0,0,0,0,0,0,2019-09-01
10322,10322,cbi-112,Astroscience Center,ศูนย์วิทยาศาสตร์ ดาราศาสตร์,13.338,100.955,,0,0,0,0,0,0,2019-09-01
10321,10321,cbi-111,Royal Battleship Jakgreenrubet,เรือหลวงจักรีนฤเบศร,12.6255,100.913,,0,0,0,0,0,0,2019-09-01
10320,10320,cbi-110,Marine Corps Museum,พิพิธภัณฑ์นาวิกโยธิน,12.6625,100.86200000000001,,0,0,0,0,0,0,2019-09-01
10319,10319,cbi-109,Thai Island and Sea Natural History Museum (Khao Ma Jo),พิพิธภัณฑ์ธรรมชาติวิทยาเกาะและทะเลไทย (เขาหมาจอ),12.602,100.95,,0,0,0,0,0,0,2019-09-01
10318,10318,cbi-108,Red Building Chaloem Phra Kiat Museum,ตึกแดงพิพิธภัณฑ์เฉลิมพระเกียรติ,13.34,100.9255,53.0,0,1,0,0,0,1,2019-09-01
10317,10317,cbi-107,Three Kingdoms Park,อุทยานสามก๊ก,12.90428571,100.976,,0,0,0,0,0,0,2019-09-01
10316,10316,cbi-106,Eastern Art and Culture Hall Burapha University,หอศิลปะและวัฒนธรรมภาคตะวันออก มหาวิทยาลัยบูรพา,13.285,100.925,,0,0,0,0,0,0,2019-09-01
10315,10315,cbi-105,Chong Samae San Village,หมู่บ้านช่องแสมสาร,12.60266667,100.9606667,,0,0,0,0,0,0,2019-09-01
10314,10314,cbi-104,Karen Village,หมู่บ้านกะเหรี่ยง คอยาว จำลอง,12.877,100.91,51.0,0,3,20,5,0,28,2019-09-01
10313,10313,cbi-103,Chollamarkwithi Bridge 84 Years,สะพานชลมารควิถี 84 พรรษา จ.ชลบุรี,13.37576923,100.97823079999999,,0,0,0,0,0,0,2019-09-01
10312,10312,cbi-102,4D Replica Ceremonial Ship Show Center,ศูนย์แสดงเรือพระราชพิธีจำลอง 4 มิติ,12.9335,100.904,,0,0,0,0,0,0,2019-09-01
10297,10297,cbi-087,Alcazar Show,อัลคาซาร์โชว์,12.9425,100.8885,133.3557692,0,5,2,10,2,19,2019-09-01
10311,10311,cbi-101,Phanus Nikhom Exhibition Center,ศูนย์จักสานพนัสนิคม,13.455,101.1795,,0,0,0,0,0,0,2019-09-01
10309,10309,cbi-099,Vihara Xian (Anekkuson Sala),วิหารเซียน (เอนกกุศลศาลา),12.786875,100.954875,73.0,0,1,1,0,0,2,2019-09-01
10308,10308,cbi-098,Wat Sanga See,วัดสังกะสี,13.40166667,101.0436667,,0,0,0,0,0,0,2019-09-01
10307,10307,cbi-097,Wat Thamnimit,วัดธรรมนิมิตต์,13.3762,101.0006,,0,0,0,0,0,0,2019-09-01
10306,10306,cbi-096,Mini Town,เมืองจำลอง,12.95354545,100.9098636,135.225,2,1,4,6,1,14,2019-09-01
10305,10305,cbi-095,Thai House Museum,พิพิธภัณฑ์เรือนไทย,13.43725,101.052,,0,0,0,0,0,0,2019-09-01
10304,10304,cbi-094,Nong Mon Market,ตลาดหนองมน,13.2808,100.9356,71.0,0,0,1,0,0,1,2019-09-01
