ghash,lat,lon,gtype,poi,pname_th,pname_en,city_code
13.302-100.901,13.302,100.901,100,cbi-001,แหลมแท่น,Laem Thaen,CBI
13.301-100.901,13.301,100.901,100,cbi-001,แหลมแท่น,Laem Thaen,CBI
13.301-100.900,13.301,100.9,100,cbi-001,แหลมแท่น,Laem Thaen,CBI
13.302-100.900,13.302,100.9,100,cbi-001,แหลมแท่น,Laem Thaen,CBI
13.301-100.902,13.301,100.902,100,cbi-001,แหลมแท่น,Laem Thaen,CBI
13.310-100.900,13.31,100.9,1000,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.309-100.903,13.309,100.903,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.309-100.904,13.309,100.904,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.309-100.905,13.309,100.905,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.309-100.906,13.309,100.906,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.309-100.907,13.309,100.907,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.309-100.908,13.309,100.908,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.309-100.909,13.309,100.909,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.308-100.910,13.308,100.91,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.308-100.909,13.308,100.909,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.308-100.907,13.308,100.907,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.308-100.908,13.308,100.908,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.308-100.906,13.308,100.906,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.308-100.905,13.308,100.905,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.308-100.904,13.308,100.904,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.307-100.906,13.307,100.906,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.307-100.907,13.307,100.907,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.307-100.908,13.307,100.908,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.307-100.909,13.307,100.909,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.309-100.910,13.309,100.91,100,cbi-002,เขาสามมุข,Khao Sam Muk,CBI
13.252-101.376,13.252,101.376,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.252-101.375,13.252,101.375,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.251-101.375,13.251,101.375,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.250-101.375,13.25,101.375,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.249-101.375,13.249,101.375,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.249-101.376,13.249,101.376,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.249-101.377,13.249,101.377,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.250-101.377,13.25,101.377,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.251-101.377,13.251,101.377,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.252-101.377,13.252,101.377,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.251-101.376,13.251,101.376,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.250-101.376,13.25,101.376,100,cbi-003,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,Nam Tok Khao Chao Bo Thong,CBI
13.342-100.942,13.342,100.942,100,cbi-004,ศูนย์ศึกษาธรรมชาติและอนุรักษ์ป่าชายเลนเพื่อการท่องเที่ยวเชิงนิเวศ,Center for Nature and Conservation of Mangrove Forest for Ecotourism,CBI
13.342-100.943,13.342,100.943,100,cbi-004,ศูนย์ศึกษาธรรมชาติและอนุรักษ์ป่าชายเลนเพื่อการท่องเที่ยวเชิงนิเวศ,Center for Nature and Conservation of Mangrove Forest for Ecotourism,CBI
13.341-100.943,13.341,100.943,100,cbi-004,ศูนย์ศึกษาธรรมชาติและอนุรักษ์ป่าชายเลนเพื่อการท่องเที่ยวเชิงนิเวศ,Center for Nature and Conservation of Mangrove Forest for Ecotourism,CBI
13.341-100.942,13.341,100.942,100,cbi-004,ศูนย์ศึกษาธรรมชาติและอนุรักษ์ป่าชายเลนเพื่อการท่องเที่ยวเชิงนิเวศ,Center for Nature and Conservation of Mangrove Forest for Ecotourism,CBI
12.694-100.855,12.694,100.855,100,cbi-005,อ่าวทุ่งโปรง,Aow Thung Prong,CBI
12.694-100.856,12.694,100.856,100,cbi-005,อ่าวทุ่งโปรง,Aow Thung Prong,CBI
12.693-100.856,12.693,100.856,100,cbi-005,อ่าวทุ่งโปรง,Aow Thung Prong,CBI
12.693-100.855,12.693,100.855,100,cbi-005,อ่าวทุ่งโปรง,Aow Thung Prong,CBI
12.692-100.855,12.692,100.855,100,cbi-005,อ่าวทุ่งโปรง,Aow Thung Prong,CBI
12.692-100.856,12.692,100.856,100,cbi-005,อ่าวทุ่งโปรง,Aow Thung Prong,CBI
