name,location,lat,lng
Quincy Jones Bang Saen,"{""lat"":13.2733395,""lng"":100.9437766}",13.2733395,100.9437766
Charin Nongmon,"{""lat"":13.28085,""lng"":100.936506}",13.28085,100.936506
Udomseafood Restaurant,"{""lat"":13.2512779,""lng"":100.9400064}",13.2512779,100.9400064
Nongmon Nutritionist,"{""lat"":13.279566,""lng"":100.936071}",13.279566,100.936071
Err Kung Phaow,"{""lat"":13.2781088,""lng"":100.9433674}",13.2781088,100.9433674
Baan Beer German,"{""lat"":13.2683328,""lng"":100.9421977}",13.2683328,100.9421977
บุญช่วย อาหารเช้า,"{""lat"":13.2758857,""lng"":100.9441159}",13.2758857,100.9441159
Phu@Love,"{""lat"":13.2806045,""lng"":100.9822441}",13.2806045,100.9822441
THE PYTHON cafe and eatery,"{""lat"":13.2420557,""lng"":100.9600994}",13.2420557,100.9600994
Sushi Ninja - ซูชินินจา บางแสน,"{""lat"":13.2853805,""lng"":100.9823841}",13.2853805,100.9823841
The she's house Wedding & Restaurant,"{""lat"":13.2689108,""lng"":100.9423519}",13.2689108,100.9423519
ร้านช้องนาง,"{""lat"":13.2797342,""lng"":100.9445061}",13.2797342,100.9445061
Fishoholics Fishing Resort and restaurant,"{""lat"":13.2602787,""lng"":100.9623124}",13.2602787,100.9623124
Momiji Specialty Coffee,"{""lat"":13.2864992,""lng"":100.983207}",13.2864992,100.983207
KBBQ บางแสน,"{""lat"":13.2773431,""lng"":100.9502589}",13.2773431,100.9502589
T One steak house,"{""lat"":13.2773213,""lng"":100.9516591}",13.2773213,100.9516591
Shabu21 สาขา หนองมน,"{""lat"":13.2770996,""lng"":100.9532003}",13.2770996,100.9532003
Melon Cafe (Farm to Table),"{""lat"":13.2720808,""lng"":100.9513089}",13.2720808,100.9513089
ร้านเอ๋เกาเหลา สาขาโค้งลูกทุ่ง,"{""lat"":13.277748,""lng"":100.9634559}",13.277748,100.9634559
NongmonNoi,"{""lat"":13.274786,""lng"":100.9349937}",13.274786,100.9349937
ก๋วยเตี๋ยวหมูบ้านบึง เย็นตาโฟ-เจ๊เริญ,"{""lat"":13.3224308,""lng"":101.0960439}",13.3224308,101.0960439
Ban Bueng Restaurant,"{""lat"":13.3259471,""lng"":101.1181437}",13.3259471,101.1181437
ร้านก๋วยเตี๋ยวซอกตึก บ้านบึง,"{""lat"":13.3117468,""lng"":101.1136355}",13.3117468,101.1136355
น้องพรเต้าหู้ถั่วเหลือง100%,"{""lat"":13.3119067,""lng"":101.1140667}",13.3119067,101.1140667
