,poi,pname_en,pname_th,lat,lon,pcat_1,pcat_2,pcat_3
0,cbi-001,Laem Thaen,แหลมแท่น,13.30323,100.89799,ธรรมชาติ,ทะเล,-
1,cbi-002,Khao Sam Muk,เขาสามมุข,13.313683,100.904522,ธรรมชาติ,ภูเขา,-
2,cbi-003,Nam Tok Khao Chao Bo Thong,วนอุทยานน้ำตกเขาเจ้าบ่อทอง,13.2479,101.3798,ธรรมชาติ,น้ำตก,-
3,cbi-004,Center for Nature and Conservation of Mangrove Forest for Ecotourism,ศูนย์ศึกษาธรรมชาติและอนุรักษ์ป่าชายเลนเพื่อการท่องเที่ยวเชิงนิเวศ,13.341979,100.942774,ธรรมชาติ,ป่าชายเลน,-
4,cbi-005,Aow Thung Prong,อ่าวทุ่งโปรง,12.66387,100.905303,ธรรมชาติ,ทะเล,-
5,cbi-006,Koh Klung Badan,เกาะกลึงบาดาล,12.95812,100.65888,ธรรมชาติ,ทะเล,-
6,cbi-007,Koh Larn,เกาะล้าน,12.920883,100.780268,ธรรมชาติ,ทะเล,-
7,cbi-008,Koh Sichang,เกาะสีชัง,13.15033,100.80973,ธรรมชาติ,ทะเล,-
8,cbi-009,Baan Amphur Beach,ชายหาดบ้านอำเภอ,12.810563,100.912975,ธรรมชาติ,ทะเล,-
9,cbi-010,Jomtien Beach,หาดจอมเทียน,12.8439,100.9048,ธรรมชาติ,ทะเล,-
10,cbi-011,Dongtan Beach,หาดดงตาล,12.643943,100.931985,ธรรมชาติ,ทะเล,-
11,cbi-012,Tawaen Beach (Koh Larn),หาดตาแหวน (เกาะล้าน),12.9254,100.7893,ธรรมชาติ,ทะเล,-
12,cbi-013,Toei Ngam Beach,หาดเตยงาม,12.6541,100.9235,ธรรมชาติ,ทะเล,-
13,cbi-014,Sai Kaew Beach,หาดทรายแก้ว,12.74225,100.84185,ธรรมชาติ,ทะเล,-
14,cbi-015,Thian Thale Beach,หาดเทียนทะเล,12.6406,100.9321,ธรรมชาติ,ทะเล,-
15,cbi-016,Nual Beach (Koh Larn),หาดนวล (เกาะล้าน),12.9254,100.7893,ธรรมชาติ,ทะเล,-
16,cbi-017,Nang Ram Beach,หาดนางรำ,12.6166,100.9232,ธรรมชาติ,ทะเล,-
